"","salinity","temperature","oxygen","fluo"
"782318",33.825,11.707,6.04,0.301029995663981
"782320",33.876,11.714,6.06,0.287801729930226
"782323",33.892,11.699,6.06,0.301029995663981
"782325",34.022,11.69,6.08,0.285557309007774
"782327",33.953,11.694,6.09,0.247973266361807
"782329",33.991,11.693,6.09,0.262451089730429
"782332",34.114,11.69,6.11,0.309630167425899
"782334",34.124,11.685,6.08,0.24551266781415
"782337",33.96,11.722,6.07,0.2405492482826
"782339",33.935,11.73,6.11,0.232996110392154
"782341",33.916,11.739,6.04,0.217483944213906
"782343",33.935,11.736,6.08,0.201397124320451
"782345",33.94,11.747,6.08,0.220108088040055
"782348",33.942,11.769,6.26,0.230448921378274
"782350",33.946,11.782,6.26,0.260071387985075
"782352",33.929,11.802,6.32,0.193124598354462
"782354",33.924,11.771,6.07,0.260071387985075
"782356",33.922,11.765,6.15,0.296665190261531
"782359",33.914,11.784,6.11,0.201397124320451
"782362",33.918,11.795,6.12,0.24551266781415
"782364",33.923,11.806,6.17,0.222716471147583
"782366",33.918,11.795,6.16,0.303196057420489
"782368",33.925,11.778,6.14,0.346352974450639
"782371",33.855,11.756,6.13,0.309630167425899
"782373",33.827,11.759,6.14,0.27415784926368
"782376",33.809,11.769,6.15,0.287801729930226
